,id,full_name,first_name,last_name,is_active
0,76001,Alaa Abdelnaby,Alaa,Abdelnaby,0
1,76002,Zaid Abdul-Aziz,Zaid,Abdul-Aziz,0
2,76003,Kareem Abdul-Jabbar,Kareem,Abdul-Jabbar,0
3,51,Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf,0
4,1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,0
5,949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,0
6,76005,Tom Abernethy,Tom,Abernethy,0
7,76006,Forest Able,Forest,Able,0
8,76007,John Abramovic,John,Abramovic,0
9,203518,Alex Abrines,Alex,Abrines,0
10,1630173,Precious Achiuwa,Precious,Achiuwa,1
11,101165,Alex Acker,Alex,Acker,0
12,76008,Donald Ackerman,Donald,Ackerman,0
13,76009,Mark Acres,Mark,Acres,0
14,76010,Charles Acton,Charles,Acton,0
15,203112,Quincy Acy,Quincy,Acy,0
16,76011,Alvan Adams,Alvan,Adams,0
17,76012,Don Adams,Don,Adams,0
18,200801,Hassan Adams,Hassan,Adams,0
19,1629121,Jaylen Adams,Jaylen,Adams,0
20,203919,Jordan Adams,Jordan,Adams,0
21,149,Michael Adams,Michael,Adams,0
22,203500,Steven Adams,Steven,Adams,1
23,912,Rafael Addison,Rafael,Addison,0
24,1628389,Bam Adebayo,Bam,Adebayo,1
25,1629061,Deng Adel,Deng,Adel,0
26,76015,Rick Adelman,Rick,Adelman,0
27,202399,Jeff Adrien,Jeff,Adrien,0
28,201167,Arron Afflalo,Arron,Afflalo,0
29,1630534,Ochai Agbaji,Ochai,Agbaji,1
30,200772,Maurice Ager,Maurice,Ager,0
31,76016,Mark Aguirre,Mark,Aguirre,0
32,201336,Blake Ahearn,Blake,Ahearn,0
33,76017,Danny Ainge,Danny,Ainge,0
34,201582,Alexis Ajinca,Alexis,Ajinca,0
35,76018,Henry Akin,Henry,Akin,0
36,203006,Josh Akognon,Josh,Akognon,0
37,1629152,DeVaughn Akoon-Purcell,DeVaughn,Akoon-Purcell,0
38,202374,Solomon Alabi,Solomon,Alabi,0
39,76019,Mark Alarie,Mark,Alarie,0
40,76020,Gary Alcorn,Gary,Alcorn,0
41,1630583,Santi Aldama,Santi,Aldama,1
42,203128,Furkan Aldemir,Furkan,Aldemir,0
43,202332,Cole Aldrich,Cole,Aldrich,0
44,200746,LaMarcus Aldridge,LaMarcus,Aldridge,0
45,76021,Chuck Aleksinas,Chuck,Aleksinas,0
46,1626146,Cliff Alexander,Cliff,Alexander,0
47,724,Cory Alexander,Cory,Alexander,0
48,2042,Courtney Alexander,Courtney,Alexander,0
49,76022,Gary Alexander,Gary,Alexander,0
50,201570,Joe Alexander,Joe,Alexander,0
51,1629734,Kyle Alexander,Kyle,Alexander,0
52,1630234,Ty-Shon Alexander,Ty-Shon,Alexander,0
53,2349,Victor Alexander,Victor,Alexander,0
54,1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,1
55,76024,Steve Alford,Steve,Alford,0
56,1628959,Rawle Alkins,Rawle,Alkins,0
57,76028,Bob Allen,Bob,Allen,0
58,1628960,Grayson Allen,Grayson,Allen,1
59,1628386,Jarrett Allen,Jarrett,Allen,1
60,706,Jerome Allen,Jerome,Allen,0
61,1628443,Kadeem Allen,Kadeem,Allen,0
62,202730,Lavoy Allen,Lavoy,Allen,0
63,76027,Lucius Allen,Lucius,Allen,0
64,2124,Malik Allen,Malik,Allen,0
65,76025,Randy Allen,Randy,Allen,0
66,951,Ray Allen,Ray,Allen,0
67,2754,Tony Allen,Tony,Allen,0
68,76029,Odis Allison,Odis,Allison,0
69,200984,Lance Allred,Lance,Allred,0
70,76030,Darrell Allums,Darrell,Allums,0
71,201165,Morris Almond,Morris,Almond,0
72,308,Derrick Alston,Derrick,Alston,0
73,1747,Rafer Alston,Rafer,Alston,0
74,1824,Peter Aluma,Peter,Aluma,0
75,1630631,Jose Alvarado,Jose,Alvarado,1
76,680,John Amaechi,John,Amaechi,0
77,732,Ashraf Amaya,Ashraf,Amaya,0
78,202329,Al-Farouq Aminu,Al-Farouq,Aminu,0
79,200811,Lou Amundson,Lou,Amundson,0
80,76034,Bob Anderegg,Bob,Anderegg,0
81,2365,Chris Andersen,Chris,Andersen,0
82,2431,David Andersen,David,Andersen,0
83,101187,Alan Anderson,Alan,Anderson,0
84,202079,Antonio Anderson,Antonio,Anderson,0
85,76035,Cliff Anderson,Cliff,Anderson,0
86,76036,Daniel Anderson,Daniel,Anderson,0
87,1507,Derek Anderson,Derek,Anderson,0
88,76037,Dwight Anderson,Dwight,Anderson,0
89,944,Eric Anderson,Eric,Anderson,0
90,246,Greg Anderson,Greg,Anderson,0
91,202341,James Anderson,James,Anderson,0
92,76040,Jerome Anderson,Jerome,Anderson,0
93,1626147,Justin Anderson,Justin,Anderson,0
94,72,Kenny Anderson,Kenny,Anderson,0
95,76041,Kim Anderson,Kim,Anderson,0
96,203937,Kyle Anderson,Kyle,Anderson,1
97,76042,Michael Anderson,Michael,Anderson,0
98,76043,Mitchell Anderson,Mitchell,Anderson,0
99,98,Nick Anderson,Nick,Anderson,0
100,76045,Richard Anderson,Richard,Anderson,0
101,76046,Ron Anderson,Ron,Anderson,0
102,201583,Ryan Anderson,Ryan,Anderson,0
103,1000,Shandon Anderson,Shandon,Anderson,0
104,335,Willie Anderson,Willie,Anderson,0
105,76048,Wally Anderzunas,Wally,Anderzunas,0
106,101149,Martynas Andriuskevicius,Martynas,Andriuskevicius,0
107,76049,Don Anielak,Don,Anielak,0
108,1628387,Ike Anigbogu,Ike,Anigbogu,0
109,76050,Michael Ansley,Michael,Ansley,0
110,1512,Chris Anstey,Chris,Anstey,0
111,203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,1
112,1628961,Kostas Antetokounmpo,Kostas,Antetokounmpo,0
113,203648,Thanasis Antetokounmpo,Thanasis,Antetokounmpo,1
114,2546,Carmelo Anthony,Carmelo,Anthony,0
115,1630175,Cole Anthony,Cole,Anthony,1
116,21,Greg Anthony,Greg,Anthony,0
117,201202,Joel Anthony,Joel,Anthony,0
118,203544,Pero Antic,Pero,Antic,0
119,1628384,O.G. Anunoby,O.G.,Anunoby,1
120,203951,Keith Appling,Keith,Appling,0
121,2737,Rafael Araujo,Rafael,Araujo,0
122,76053,Stacey Arceneaux,Stacey,Arceneaux,0
123,76054,Nate Archibald,Nate,Archibald,0
124,2425,Robert Archibald,Robert,Archibald,0
125,1627853,Ryan Arcidiacono,Ryan,Arcidiacono,1
126,76055,Jim Ard,Jim,Ard,0
127,2240,Gilbert Arenas,Gilbert,Arenas,0
128,2772,Trevor Ariza,Trevor,Ariza,0
129,76056,Paul Arizin,Paul,Arizin,0
130,76057,Joe Arlauckas,Joe,Arlauckas,0
131,769,B.J. Armstrong,B.J.,Armstrong,0
132,76061,Bob Armstrong,Bob,Armstrong,0
133,2220,Brandon Armstrong,Brandon,Armstrong,0
134,353,Darrell Armstrong,Darrell,Armstrong,0
135,200756,Hilton Armstrong,Hilton,Armstrong,0
136,76060,Paul Armstrong,Paul,Armstrong,0
137,76059,Tate Armstrong,Tate,Armstrong,0
138,76062,Jesse Arnelle,Jesse,Arnelle,0
139,76063,Jay Arnette,Jay,Arnette,0
140,76064,Bob Arnzen,Bob,Arnzen,0
141,2306,Carlos Arroyo,Carlos,Arroyo,0
142,201589,Darrell Arthur,Darrell,Arthur,0
143,76065,John Arthurs,John,Arthurs,0
144,1628503,Jamel Artis,Jamel,Artis,0
145,201600,Omer Asik,Omer,Asik,0
146,355,Vincent Askew,Vincent,Askew,0
147,173,Keith Askins,Keith,Askins,0
