,context_before,equation,context_after,INPUT:text,FILENAME,latex_len
0,from the active,$ \hat { \beta_j } $,. % This particular example is shown primarily because reproducing the results from,hat beta sub j,14347418,20
1,such that,$ |B \cap \mathcal { D } |=0 $,",",The cardinality of the intersection of B and the set D is equal to zero.,1797138,30
2,in,$ \overline { S } -S $,". More precisely , to",the complement of S minus S.,1224368,22
3,says that,$ \Delta ( i\mid X ) $,"vanishes on average , and","Delta, open parenthesis, i, vertical bar, X, close parenthesis.",12716137,22
4,is a generating set,"$ x_1 , y_1 , \dots , x_g , y_g $",such that,"x sub 1, y sub 1, dot dot dot, x sub g, y sub g.",10212255,33
5,is invertible,$ ( N\geq N_0 ) $,", then",N greater than or equal to N sub zero.,13171085,17
6,em the existence of a symmetric stationary distribution,"$ \mu_ { \sigma,0 } $",for,"mu sub sigma, zero",9691217,21
7,with respect to the variable,$ J'=\sqrt { 1-e^2 } $,as a function of the inclination of the binary . Since,The derivative of J is equal to the square root of one minus e squared.,4061907,22
8,in the limit,$ \bar { g } ^2/\omega_0 \ll z t_0^2 $,", we directly retrieve the SYK",The bar g divided by omega zero is much less than z times t zero squared.,2986869,38
9,and the parking slot occupies an area of,$ 4650 m^ { 2 } $,". There are several different road loops in the scene for providing loop closure constraints in the SLAM task . To enrich the scene , we involve items such as",four hundred six hundred m squared.,2963011,17
10,estimates but analogous ones hold in,$ L^p_x $,",",L to the power of p sub x.,15601904,9
11,*,$ -homomorphism from $,A,negative homomorphism from 0,13835757,22
12,the positive similarity,"$ s_ { i , i } $","is calculated by two augmented versions of the same image , and the negative similarity",s sub i comma i,7389635,16
13,and for every,$ x \in { } ^ * G $,and almost every,x belongs to the closure of G.,69761,19
14,we denote,$ X \lesssim Y $,if,X is approximately less than or equal to Y.,15886289,16
15,For all,"$ c = r , \ldots , n $",",","c equals r, dot dot dot, n",8541849,22
16,a linear unbounded functional response,$ F ( u ) =\alpha u $,"is assumed . To address the issue of unboundedness , Holling proposed the functional form as",F of u equals alpha u,7828721,21
17,using,$ 12 $,rectangles to approximate the area gives,Twelve.,16076806,6
18,decreasing function,$ f=\exp ( -x ) $,first and its inverse,f equals e to the power of negative x,3906803,17
19,Planets experiencing insolation,$ S \gtrsim $,990,S greater than or approximately equal to None.,2510553,13
20,and sum rate,$ R_ { \text { sum } } $,.,R sub sum,9972012,24
21,for,"$ n=\tau+1 , \cdots , \min ( k , T+\tau-1 ) $",", where","n equals tau plus one, dot dot dot, the minimum of k, comma, T plus tau minus one.",756348,45
22,& N,$ _ { HCONH_2 } $,& N,sub HCONH2,13157104,17
23,for,"$ \sigma=x , \ , y , \ , z $",". Solving these , one has",zee,14464515,28
24,&,$ 2967 $,&,2967,501224,8
25,Then the value of,$ \sigma ( E_1 ) $,determines,Sigma of E sub 1.,154391,18
26,there is a closed connected set,$ L\subseteq X $,satisfying,L is a subset of X,15967593,16
27,for,$ J \in P ( K ' ) $,. The dual,J belongs to the power set of K prime.,6875154,19
28,if,$ E'/k $,is another elliptic curve and,E prime over k.,15027973,8
29,so that,$ k_s + k_ { ns } = k $,. Reasoning as in Lemma,k sub s plus k sub n s equals k,8988210,23
30,is equivalent to saying,"$ f ( 2\cos\theta ) \in L^2 ( [ 0 , \pi ] ) $",". We can express the coefficients , for",f of 2 cosine theta belongs to L squared of the interval 0 to pi.,12627697,45
31,for all,$ u v_i \in E ( G ) $,. A vertex labeling,u v sub i belongs to E of G,1762563,21
32,and,$ \beta k > 1 $,such that,beta k greater than one.,5695204,15
33,In a stationary state it must be equal to the density of pumped magnons that disappear per unit time,$ \frac { n_ { pm } } { \tau_ { l } } $,". Thus , the established density of pumped magnons is",n sub p m divided by tau sub l,202928,39
34,of the coordinate ring,$ A=A ( V ) =k [ V ] =S ( V^ * ) $,of,A equals A of V equals k times the quantity V equals S of V star.,8502952,34
35,such as,$ \nu_\mu + e^- \rightleftarrows \nu_e + \mu^- $,",",Nu sub mu plus e minus rightleftharpoons nu sub e plus mu minus.,9662965,48
36,&,$ 12.2 \pm 2.6 $,&,12.2 plus or minus 2.6,7277759,16
37,and,$ \gamma_i=\alpha_2\setminus\ { i\ } $,for,Gamma sub i equals alpha sub 2 set minus open brace i close brace.,6208071,38
38,for,"$ m \equiv n\ , ( \text { mod } \,3 ) $",. This choice of,"m is congruent to n, modulo 3.",1047030,39
39,Denote by,$ F= \alpha H + \beta K $,a nontrivial linear combination for which the point,F equals alpha H plus beta K,126854,25
40,is the eigenvalue for the,$ b^\dagger b $,"operator . Later it will be used that the angular momentum operator ,",b dagger b,15846085,15
41,-axis and the rotation of,$ \delta\varphi^ { ( j ) } $,by multiplying the rotation matrices as follows . Let,Delta phi to the power of j.,14354944,28
42,is a standard normal random variable independent of,$ X_ { -s } $,while,X sub negative s,14351752,13
43,and self-adjoint projections,"$ P^x_a , Q^y_b $",", such that","P to the power of x subscript a, comma, Q to the power of y subscript b.",1598415,17
44,&,$ 0.479\pm0.005 $,&,0.479 plus or minus 0.005,1278645,17
45,The length of each RIR was,$ 127890 $,"samples , which corresponds to a","127,890: None",1289043,10
46,and,$ \hat q=s $,by Corollary,q-hat equals s.,7332855,12
47,As the initial central densities of the QHCs lie in the range of,$ 2.95-3.15 ~n_0 $,", this is where QHCs are close to but a bit stiffer than the SLy . Figure",Two point nine five minus three point one five n sub zero.,2954138,18
48,The initial token placement,$ f_0\colon V\to T $,should satisfy,"f sub 0, colon V to T",5722904,20
49,and the fact that,$ g\mapsto T^x_ { g^ { [ n ] } } $,factors through,g maps to T raised to the power of x sub g raised to the power of n,3456046,34
50,with no poles along,$ E_ { r+1 } \cap U_r=\ { u_1=0\ } $,", generating",E sub r plus 1 intersection U sub r equals the set of u sub 1 equals 0.,14965957,36
51,such that all solutions of,$ ( r \circ e ) ( x ) $,have a degree greater or equal to,"ar circle ee, eks",9667977,23
52,images with,"$ F_ { label } = [ -1,0.1 , 0.5 ] $",",","F sub label equals open square bracket negative one, comma zero point one, comma zero point five close square bracket.",10322769,35
53,GeV and,$ m_\phi = 100 $,TeV gives a relatively mild bound,m sub phi equals 100,6082671,16
54,of the heat operator,$ \mathcal { H } =\partial_t+\mathcal { L } $,", that is the heat kernel on",H equals the partial derivative with respect to t plus L.,13240114,45
55,&,$ 71.60\pm 5.16 $,& N/A &,71.60 plus or minus 5.16.,1620170,17
56,It is also possible that,$ Y^2-4kX < 0 $,and,Y squared minus 4kX is less than zero.,1290167,15
57,The intensity autocorrelation function measured in the XPCS measurement is proportional to one plus the square of,"$ f ( q , t ) $",", which leads to a strain contribution to the normalized correlation function from a cycle of shear of",eff open parenthesis q comma t close parenthesis,16018161,15
58,if and only if,$ u_3 ' ( \ell ) =0 $,. In conclusion : solutions of,u sub 3 prime of ell equals 0,7972741,21
59,by regarding a distribution,$ q : G/\varphi\to R $,as a distribution,q: G over phi to R,14500818,22
60,& Northward &,$ 1.32 \pm 0.05 $,&,one point three two plus or minus zero point zero five.,13717114,17
61,with respect to,"$ \ { \mu_ { 0 } , \mu_ { 1 } , \mu_ { 2 } \ } $",.,"mu sub 0, mu sub 1, mu sub 2",6283668,48
62,depending only on,"$ ( K , J , g , L ) $",with the following properties : If,"( K, J, g, L )",3020943,21
63,or,$ v_i=y $,and,v sub i equals y.,2851669,9
64,The algorithm involves an ansatz circuit with our qubits initialized to the ground state of the mixer hamiltonian and then repeatedly applying,$ U_ { cost } ( \beta_i ) $,and,U sub cost of beta sub i.,6174588,27
65,the single-particle Nilsson levels,$ \Omega [ \mathcal { N } n_ { z } \Lambda ] $,as a function of deformation parameter,"Omega, open square bracket, script N, n sub z, Lambda, close square bracket.",13216225,46
66,for,"$ r_0=50\ , $",pc and,r sub zero equals fifty.,6103256,13
67,Inverting the relation between,$ \ { j_ { h_o } \ } _ { h_o=1 } ^M $,and,"j sub h-o, with h-o equals 1, to the power of M.",408195,37
68,&,$ -4.6237 $,&,negative four point six two three three,6806068,11
69,the three voters who cast the ballot,$ A\succ B \succ C $,prefer,A is succ B is succ C,6843515,20
70,in,"$ L^2 ( z_0 , z_1 ) $",", we conclude that","L squared of z sub 0, z sub 1.",8014970,21
71,since there is a,$ b \leftrightarrow b^ { -1 } $,symmetry apparent in the matrix model,b is equivalent to b inverse,4614729,31
72,they may take the form,$ g_i ( x ) = \|x - \bar { x } _i\|^2 $,where,g sub i of x equals the norm of x minus x bar sub i squared.,10345304,39
73,where,$ \lambda = \mu = 10^ { \omega_2 } $,. The remaining physical properties are independent of,Lambda equals mu equals ten to the power of omega sub 2.,10890791,36
74,The last term shows the weight decay regularization where,$ 0 < = \lambda < = 1 $,.,0 is less than or equal to lambda which is less than or equal to 1.,957995,23
75,we see that it is regular as,$ z \rightarrow w $,. Expanding,z goes to w,14501603,19
76,For,$ B \in \mathcal { P } ( W ) $,", the t.i . set operators",B belongs to the power set of W.,10837353,30
77,Let,"$ ( X^ * , Y^ * ) $",be an arbitrary accumulation point of,"X raised to the power of star, comma, Y raised to the power of star.",10740892,19
78,where,"$ ( V , W , u ) $",varies . The groupoid structure on,open parenthesis V comma W comma u close parenthesis,6132725,17
79,for the sensing matrix is chosen to be from,"$ \ { 0.05 , 0.1 , 0.25 , 0.75\ } $",. These results are shown in,"Open brace, zero point zero five, comma, zero point five, comma, zero point seven five, close brace.",6807302,35
80,Since,$ G_\Delta=F\Delta F^\ast $,", we have",G sub delta equals F delta F star.,1665762,27
81,for all,$ z \in \widetilde { V } ( x ) $,",",z belongs to the set of V tilde of x.,881593,32
82,OLN,$ _ { DINO } $,~,subscript DIN O.,6771339,14
83,the disks,$ D_\epsilon ( \omega^j ) $,have been excluded ; this is because,D epsilon of omega to the power of j.,3140341,27
84,Assume,$ S_1=S_0e^ { G-L } $,", where",S sub 1 equals S sub 0 times e raised to the power of G minus L.,744620,21
85,of the suspension have been labeled,$ \widetilde { L } _j ' $,", to correspond to our notation",tilde L sub j prime,2893013,25
86,respectively and,$ dist ( * ) $,measures the Euclidean distance between,dist of star,11935948,14
87,&,$ 1.884\pm.013 $,&,1.884 plus or minus 0.013.,10813740,16
